Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,GFS,AG_PRD_AGVAS,,PT,21.9
2016,A,0,GFS,AG_PRD_AGVAS,,PT,24.2
2017,A,0,GFS,AG_PRD_AGVAS,,PT,22.9
2018,A,0,GFS,AG_PRD_AGVAS,,PT,22.9
2019,A,0,GFS,AG_PRD_AGVAS,,PT,23.6
2020,A,0,GFS,AG_PRD_AGVAS,,PT,24.8
2021,A,0,GFS,AG_PRD_AGVAS,,PT,23.4
2015,A,0,GFS,AG_PRD_ORTIND,,PT,0.17
2016,A,0,GFS,AG_PRD_ORTIND,,PT,0.16
2017,A,0,GFS,AG_PRD_ORTIND,,PT,0.22
2018,A,0,GFS,AG_PRD_ORTIND,,PT,0.16
2019,A,0,GFS,AG_PRD_ORTIND,,PT,0.16
