Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,Annual Crime Report,SH_STA_TRAFN,,,NUMBER,3224
2018,A,0,Annual Crime Report,SH_STA_TRAFN,,,NUMBER,3698
2019,A,0,Annual Crime Report,SH_STA_TRAFN,,,NUMBER,3880
2021,A,0,Annual Crime Report,SH_STA_TRAFN,,,NUMBER,4159
2015,A,0,Annual Crime Report,SH_STA_TRAFN,,F,NUMBER,690
2018,A,0,Annual Crime Report,SH_STA_TRAFN,,F,NUMBER,769
2019,A,0,Annual Crime Report,SH_STA_TRAFN,,F,NUMBER,918
2021,A,0,Annual Crime Report,SH_STA_TRAFN,,F,NUMBER,808
2015,A,0,Annual Crime Report,SH_STA_TRAFN,,M,NUMBER,2534
2018,A,0,Annual Crime Report,SH_STA_TRAFN,,M,NUMBER,2920
2019,A,0,Annual Crime Report,SH_STA_TRAFN,,M,NUMBER,2962
2021,A,0,Annual Crime Report,SH_STA_TRAFN,,M,NUMBER,3351
