Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,OCCUPATION,UNIT_MEASURE,Value
2020,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_221,PER_10000_POP,19.0
2021,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_221,PER_10000_POP,22.5
2022,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_221,PER_10000_POP,25.8
2023,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_221,PER_10000_POP,26.5
2024,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_221,PER_10000_POP,31.3
2020,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,1.2
2021,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,1.8
2022,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,2.0
2023,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,2.1
2024,A,0,MoH - HMIS,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,2.3
