Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,69.8
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,72.7
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,71.7
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,55.2
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_MATH,PT,57.5
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,56.2
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,64.2
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,60.2
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,49.9
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P3,SKILL_READ,PT,53.9
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,41.4
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,39.4
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,52.6
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,50.1
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_MATH,PT,58.0
2013,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,40.2
2014,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,38.3
2015,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,51.9
2018,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,53.1
2023,A,0,UNEB - NAPE,SE_TOT_PRFL,,,_L_UG_P6,SKILL_READ,PT,42.7
2006,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_P7,SKILL_MATH,PT,82.7
2009,A,0,Uganda National Examinations Board - Adminsitrative Data,SE_TOT_PRFL,,,_L_UG_P7,SKILL_MATH,PT,85.8
