Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,A,0,Uganda National Household Survey,SE_ADT_FUNS,,,,PT,81.9
2017,A,0,Uganda National Household Survey,SE_ADT_FUNS,,,,PT,86.4
2018,A,0,Uganda National Household Survey,SE_ADT_FUNS,,,,PT,87.1
2017,A,0,UNHS,SE_ADT_FUNS,,,SKILL_LTRCY,PT,86.4
2020,A,0,UNHS,SE_ADT_FUNS,,,SKILL_LTRCY,PT,87.1
2013,A,0,Uganda National Household Survey,SE_ADT_FUNS,,F,,PT,79.4
2017,A,0,Uganda National Household Survey,SE_ADT_FUNS,,F,,PT,86.5
2018,A,0,Uganda National Household Survey,SE_ADT_FUNS,,F,,PT,87.1
2017,A,0,UNHS,SE_ADT_FUNS,,F,SKILL_LTRCY,PT,86.5
2020,A,0,UNHS,SE_ADT_FUNS,,F,SKILL_LTRCY,PT,87.1
2013,A,0,Uganda National Household Survey,SE_ADT_FUNS,,M,,PT,84.5
2017,A,0,Uganda National Household Survey,SE_ADT_FUNS,,M,,PT,86.2
2018,A,0,Uganda National Household Survey,SE_ADT_FUNS,,M,,PT,87.2
2017,A,0,UNHS,SE_ADT_FUNS,,M,SKILL_LTRCY,PT,86.2
2020,A,0,UNHS,SE_ADT_FUNS,,M,SKILL_LTRCY,PT,87.2
