Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,Value
2017,A,0,Ministry of Education and Sports - Adminsitrative data,SE_ACC_HNDWSH,,AGG_0_1,PT,40.9
2017,A,0,MoES,SE_ACC_HNDWSH,,ISCED11_1,PT,40.9
2017,A,0,MoES,SE_ACC_HNDWSH,,ISCED11_2,PT,54.3
2017,A,0,MoES,SE_ACC_HNDWSH,,ISCED11_3,PT,59.1
2016,A,0,Ministry of Education and Sports - Adminsitrative data,SE_ACS_H2O,,AGG_0_1,PT,76.2
2017,A,0,Ministry of Education and Sports - Adminsitrative data,SE_ACS_H2O,,AGG_0_1,PT,87.5
2016,A,0,MoES,SE_ACS_H2O,,ISCED11_1,PT,76.2
2017,A,0,MoES,SE_ACS_H2O,,ISCED11_1,PT,87.5
2016,A,0,MoES,SE_ACS_H2O,,ISCED11_2,PT,82.7
2017,A,0,MoES,SE_ACS_H2O,,ISCED11_2,PT,92.2
2016,A,0,MoES,SE_ACS_H2O,,ISCED11_3,PT,87.0
2017,A,0,MoES,SE_ACS_H2O,,ISCED11_3,PT,95.3
2016,A,0,Ministry of Education and Sports - Adminsitrative data,SE_ACS_SANIT,,AGG_0_1,PT,87.5
2017,A,0,Ministry of Education and Sports - Adminsitrative data,SE_ACS_SANIT,,AGG_0_1,PT,90.0
2016,A,0,MoES,SE_ACS_SANIT,,ISCED11_1,PT,87.5
2017,A,0,MoES,SE_ACS_SANIT,,ISCED11_1,PT,90.0
2016,A,0,MoES,SE_ACS_SANIT,,ISCED11_2,PT,85.2
2017,A,0,MoES,SE_ACS_SANIT,,ISCED11_2,PT,90.7
2016,A,0,MoES,SE_ACS_SANIT,,ISCED11_3,PT,83.4
2017,A,0,MoES,SE_ACS_SANIT,,ISCED11_3,PT,99.9
