Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_ATM,PER_100000_POP,4.7
2016,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_ATM,PER_100000_POP,4.6
2017,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_ATM,PER_100000_POP,4.2
2018,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_ATM,PER_100000_POP,4.2
2019,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_ATM,PER_100000_POP,4.7
2015,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_COMMERCIAL_BANK,PER_100000_POP,3.0
2016,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_COMMERCIAL_BANK,PER_100000_POP,2.9
2017,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_COMMERCIAL_BANK,PER_100000_POP,2.7
2018,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_COMMERCIAL_BANK,PER_100000_POP,2.6
2019,A,0,Survey by BOU,FB_CBK_BRCH,,_L_UG_COMMERCIAL_BANK,PER_100000_POP,3.1
