Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,69.6
2019,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,79.9
2020,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,86.7
2021,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,106.35728469330884
2022,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,115.5461463065606
2023,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,122.79628440826562
2024,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,124.7781032052644
2025,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,,_L_UG_MOBILE_MONEY_ACCOUNT,PT,136.91076222385178
2015,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,28.8
2016,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,31.8
2017,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,44.0
2018,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,53.8
2019,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,63.9
2020,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_BANK_ACCOUNT,PT,76.1
2018,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_MOBILE_MONEY_ACCOUNT,PT,69.6
2019,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_MOBILE_MONEY_ACCOUNT,PT,79.9
2020,A,0,Survey by BOU,FB_BNK_ACCSS,,Y_GE15,_L_UG_MOBILE_MONEY_ACCOUNT,PT,86.7
2015,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,28.8
2016,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,31.8
2017,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,44.0
2018,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,53.8
2019,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,63.9
2020,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,76.1
2021,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,67.06330333844754
2022,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,72.01105693737105
2023,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,79.51472912010493
2024,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,91.36385792235544
2025,A,0,Survey by The Bank of Uganda,FB_BNK_ACCSS,,Y_GE15,,PT,101.30993463854006
