Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,,PT,9.0
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,,PT,8.6
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y_GE60,PT,5.6
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y_GE60,PT,3.4
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y18T30,PT,13.4
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y18T30,PT,13.0
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y31T59,PT,4.7
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y31T59,PT,5.6
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y5T17,PT,14.7
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,,Y5T17,PT,19.0
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,F,,PT,13.0
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,F,,PT,8.7
2017,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,M,,PT,5.9
2020,A,0,UNHS,SL_TLF_UEMDIS_19ICLS,,M,,PT,8.5
