Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2015,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,54450.0
2016,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,59556.0
2017,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,69306.0
2018,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,63353.0
2019,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,64731.0
2020,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,58898.0
2021,IS_RDP_FRGVOL,_L_UG_AIR_CARGO,T_KM,53553.0
2016,IS_RDP_FRGVOL,_L_UG_RAILWAY_CARGO,T_KM,599847.0
2017,IS_RDP_FRGVOL,_L_UG_RAILWAY_CARGO,T_KM,355290.0
2018,IS_RDP_FRGVOL,_L_UG_RAILWAY_CARGO,T_KM,105723.0
2019,IS_RDP_FRGVOL,_L_UG_RAILWAY_CARGO,T_KM,193693.0
2020,IS_RDP_FRGVOL,_L_UG_RAILWAY_CARGO,T_KM,196935.0
2021,IS_RDP_FRGVOL,_L_UG_RAILWAY_CARGO,T_KM,390628.0
2017,IS_RDP_FRGVOL,_L_UG_WATER_CARGO,T_KM,755.4
2018,IS_RDP_FRGVOL,_L_UG_WATER_CARGO,T_KM,1186.4
2019,IS_RDP_FRGVOL,_L_UG_WATER_CARGO,T_KM,1845.6
2020,IS_RDP_FRGVOL,_L_UG_WATER_CARGO,T_KM,2110.1
2021,IS_RDP_FRGVOL,_L_UG_WATER_CARGO,T_KM,2834.7
2015,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,1520439.0
2016,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,1549495.0
2017,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,1644702.0
2018,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,1871423.0
2019,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,2008238.0
2020,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,622643.0
2021,IS_RDP_PFVOL,_L_UG_AIR_PASSENGER,NUMBER,779005.0
2018,IS_RDP_PFVOL,_L_UG_RAILWAY_PASSENGER,NUMBER,438783.0
2019,IS_RDP_PFVOL,_L_UG_RAILWAY_PASSENGER,NUMBER,619206.0
2020,IS_RDP_PFVOL,_L_UG_RAILWAY_PASSENGER,NUMBER,180327.0
2021,IS_RDP_PFVOL,_L_UG_RAILWAY_PASSENGER,NUMBER,799533.0
2017,IS_RDP_PFVOL,_L_UG_WATER_PASSENGER,NUMBER,4275112.0
2018,IS_RDP_PFVOL,_L_UG_WATER_PASSENGER,NUMBER,4549333.0
2019,IS_RDP_PFVOL,_L_UG_WATER_PASSENGER,NUMBER,1155299.0
2020,IS_RDP_PFVOL,_L_UG_WATER_PASSENGER,NUMBER,3842092.0
