Year,Value,SERIES
2015,42.7,GB_XPD_CUL_PBPV
2016,57.9,GB_XPD_CUL_PBPV
2017,67.7,GB_XPD_CUL_PBPV
2018,104.7,GB_XPD_CUL_PBPV
2019,78.2,GB_XPD_CUL_PBPV
2020,129.7,GB_XPD_CUL_PBPV
2021,119.5,GB_XPD_CUL_PBPV
2015,2.0,GB_XPD_CULNAT_PBPV
2016,2.7,GB_XPD_CULNAT_PBPV
2017,3.2,GB_XPD_CULNAT_PBPV
2018,3.9,GB_XPD_CULNAT_PBPV
2019,5.2,GB_XPD_CULNAT_PBPV
2020,9.9,GB_XPD_CULNAT_PBPV
2021,13.2,GB_XPD_CULNAT_PBPV
2015,47.1,GB_XPD_NAT_PBPV
2016,63.9,GB_XPD_NAT_PBPV
2017,74.9,GB_XPD_NAT_PBPV
2018,111.6,GB_XPD_NAT_PBPV
2019,86.2,GB_XPD_NAT_PBPV
2020,143.7,GB_XPD_NAT_PBPV
2021,138.1,GB_XPD_NAT_PBPV
