Value,Disaggregation combinations using this value,Number of indicators
_L_UG_ACCOUNTABILITY,2,1
_L_UG_ADMINISTRATION_OF_JUSTICE,1,1
_L_UG_AGRICULTURE,2,1
_L_UG_AGRO_INDUSTRIALIZATION,1,1
_L_UG_AIR_CARGO,1,1
_L_UG_AIR_PASSENGER,1,1
_L_UG_ATM,1,1
_L_UG_BANK_ACCOUNT,1,1
_L_UG_CHIEF_MAGISTRATE,1,1
_L_UG_COMM_MOBILIZATION_AND_MINDSET_CHANGE,1,1
_L_UG_COMMERCIAL_BANK,1,1
_L_UG_DEVELOPMENT_PLAN_IMPLEMENTATION,1,1
_L_UG_DIGITAL_TRANSFORMATION,1,1
_L_UG_DISABLED_JUDICIARY,1,1
_L_UG_EDUCATION,2,1
_L_UG_ENERGY_AND_MINERAL_DEVELOPMENT,2,1
_L_UG_FEMALE_JUDICIARY,1,1
_L_UG_FIXED_INTERNET,1,1
_L_UG_GOVERNANCE_AND_SECURITY,1,1
_L_UG_HEALTH,2,1
_L_UG_HUMAN_CAPITAL_DEVELOPMENT,1,1
_L_UG_ICT,2,1
_L_UG_INTERNET,1,1
_L_UG_ITIS,1,1
_L_UG_JLOS,2,1
_L_UG_JUDGES_OF_THE_HIGH_COURT,1,1
_L_UG_JUSTICES_OF_THE_COURT_OF_APPEAL,1,1
_L_UG_JUSTICES_OF_THE_SUPREME_COURT,1,1
_L_UG_LANDS_HOUSING_AND_URBAN_DEVELOPMENT,2,1
_L_UG_LEGISLATURE,2,1
_L_UG_MAGISTRATES_GRADE_I,1,1
_L_UG_MAGISTRATES_GRADE_II,1,1
_L_UG_MALE_JUDICIARY,1,1
_L_UG_MANUFACTURING,1,1
_L_UG_MINERAL_DEVELOPMENT,1,1
_L_UG_MOBILE_INTERNET,1,1
_L_UG_MOBILE_MONEY_ACCOUNT,2,1
_L_UG_NECCLAWM,1,1
_L_UG_NOM,1,1
_L_UG_NUMBER_PER_1000_POP,3,1
_L_UG_OFF,1,1
_L_UG_PRIVATESECTORDEVELOPMENT,1,1
_L_UG_PUBLIC_ADMINISTRATION,2,1
_L_UG_PUBLIC_SECTOR_MANAGEMENT,2,1
_L_UG_PUBLIC_SECTOR_TRANSFORMATION,1,1
_L_UG_RAILWAY_CARGO,1,1
_L_UG_RAILWAY_PASSENGER,1,1
_L_UG_REGIONAL_BALANCED_DEVELOPMENT,1,1
_L_UG_REGISTRARS,1,1
_L_UG_SECURITY,2,1
_L_UG_SOCIAL_DEVELOPMENT,2,1
_L_UG_STI,2,1
_L_UG_SUSTAINABLE_ENERGY_DEVELOPMENT,1,1
_L_UG_SUSTAINABLE_PETROLEUM_DEVELOPMENT,1,1
_L_UG_SUSTAINABLE_URBAN_DEVELOPMENT,1,1
_L_UG_TECHNOLOGY_TRANSFER_AND_DEVELOPMENT,1,1
_L_UG_TOT_C,2,1
_L_UG_TOT_F,2,1
_L_UG_TOT_M,2,1
_L_UG_TOT_N,2,1
_L_UG_TOT_P,2,1
_L_UG_TOTAL_OFFICERS_JUDICIARY,1,1
_L_UG_TOURISM_DEVELOPMENT,1,1
_L_UG_TOURISM_TRADE_AND_INDUSTRY,2,1
_L_UG_WATER_AND_ENVIRONMENT,2,1
_L_UG_WATER_AND_TRANSPORT,1,1
_L_UG_WATER_CARGO,1,1
_L_UG_WATER_PASSENGER,1,1
_L_UG_WORKS_AND_TRANSPORT,1,1
IHR_01,1,1
IHR_02,1,1
IHR_03,1,1
IHR_04,1,1
IHR_05,1,1
IHR_06,1,1
IHR_07,1,1
IHR_08,1,1
IHR_09,1,1
IHR_10,1,1
IHR_11,1,1
IHR_12,1,1
IHR_13,1,1
MOT_AIR,3,1
MOT_IWW,3,1
MOT_RAI,3,1
PD_1,1,1
PD_2,1,1
PD_3,1,1
PD_4,1,1
PD_5,1,1
PD_6,1,1
SKILL_ICTATCH,1,1
SKILL_ICTCDV,1,1
SKILL_ICTCMFL,1,1
SKILL_ICTCPT,1,1
SKILL_ICTPRGM,1,1
SKILL_ICTPST,1,1
SKILL_ICTSFWR,1,1
SKILL_ICTSSHT,1,1
SKILL_ICTTRFF,1,1
SKILL_LTRCY,3,1
SKILL_MATH,12,1
SKILL_READ,12,1
SPAR2_C05,1,1
SPAR2_C06,1,1
SPAR2_C07,1,1
SPAR2_C08,1,1
SPAR2_C09,1,1
SPAR2_C10,1,1
SPAR2_C11,1,1
SPAR2_C12,1,1
SPAR2_C13,1,1
SPAR2_C14,1,1
SPAR2_C15,1,1
SPAR_01,1,1
SPAR_02,1,1
SPAR_03,1,1
SPAR_04,1,1
SPAR_05,1,1
SPAR_06,1,1
SPAR_07,1,1
SPAR_08,1,1
SPAR_09,1,1
SPAR_10,1,1
SPAR_11,1,1
SPAR_12,1,1
SPAR_13,1,1
